Candidate,Poll_Percent,Date,Wikipedia_Traffic,,
Kamala Harris,11.0,07/13/19,17662.0,,
Elizabeth Warren,9.0,07/13/19,5913.0,,
Beto O'Rourke,3.0,07/13/19,2715.0,,
Pete Buttigieg,1.0,07/13/19,9153.0,,
Cory Booker,1.0,07/13/19,2952.0,,
Steve Bullock,1.0,07/13/19,7.0,,
Tulsi Gabbard,1.0,07/13/19,5454.0,,
Seth Moulton,1.0,07/13/19,849.0,,
Kirsten Gillibrand,1.0,07/13/19,3029.0,,
Amy Klobuchar,1.0,07/13/19,1133.0,,
Tim Ryan,1.0,07/13/19,45.0,,
Bill de Blasio,1.0,07/13/19,3727.0,,
John Delaney,1.0,07/13/19,55.0,,
Mike Gravel,1.0,07/13/19,6480.0,,
Wayne Messam,1.0,07/13/19,302.0,,
Julian Castro,1.0,07/13/19,1553.0,,
John Hickenlooper,.0,07/13/19,842.0,,
Tom Steyer,.0,07/13/19,6703.0,,
Marianne Williamson,.0,07/13/19,3352.0,,
Joe Sestak,.0,07/13/19,548.0,,
Michael Bennet,.0,07/13/19,2142.0,,
Andrew Yang,.0,07/13/19,4764.0,,
Jay Inslee,.0,07/13/19,981.0,,
Joe Biden,20.8,07/12/19,7817.0,,
Kamala Harris,17.5,07/12/19,37055.0,,
Elizabeth Warren,16.7,07/12/19,7867.0,,
Pete Buttigieg,11.5,07/12/19,8883.0,,
Beto O'Rourke,.0,07/12/19,3353.0,,
Andrew Yang,4.9,07/12/19,5139.0,,
Amy Klobuchar,2.7,07/12/19,2009.0,,
Marianne Williamson,1.5,07/12/19,4421.0,,
Cory Booker,1.2,07/12/19,4293.0,,
Tulsi Gabbard,1.0,07/12/19,6012.0,,
Kirsten Gillibrand,.7,07/12/19,3020.0,,
Jay Inslee,.3,07/12/19,1058.0,,
Joe Biden,43.0,07/11/19,7741.0,,
Kamala Harris,13.0,07/11/19,20391.0,,
Elizabeth Warren,15.0,07/11/19,6438.0,,
Pete Buttigieg,5.0,07/11/19,9538.0,,
Beto O'Rourke,1.0,07/11/19,3460.0,,
Kamala Harris,23.0,07/11/19,20391.0,,
Elizabeth Warren,22.0,07/11/19,6438.0,,
Joe Biden,17.0,07/11/19,7741.0,,
Pete Buttigieg,8.0,07/11/19,9538.0,,
Beto O'Rourke,2.0,07/11/19,3460.0,,
Tulsi Gabbard,2.0,07/11/19,5997.0,,
Andrew Yang,2.0,07/11/19,6527.0,,
Julian Castro,1.0,07/11/19,2172.0,,
Amy Klobuchar,1.0,07/11/19,2274.0,,
Cory Booker,1.0,07/11/19,3800.0,,
Jay Inslee,1.0,07/11/19,1402.0,,
Marianne Williamson,.0,07/11/19,4440.0,,
Tom Steyer,.0,07/11/19,22966.0,,
John Delaney,.0,07/11/19,18.0,,
John Hickenlooper,.0,07/11/19,989.0,,
Bill de Blasio,.0,07/11/19,3895.0,,
Mike Gravel,.0,07/11/19,3231.0,,
Kirsten Gillibrand,.0,07/11/19,2357.0,,
Tim Ryan,.0,07/11/19,45.0,,
Wayne Messam,.0,07/11/19,317.0,,
Michael Bennet,.0,07/11/19,5059.0,,
Joe Sestak,.0,07/11/19,563.0,,
Joe Biden,35.0,07/10/19,9058.0,,
Kamala Harris,12.0,07/10/19,18821.0,,
Elizabeth Warren,5.0,07/10/19,5960.0,,
Cory Booker,3.0,07/10/19,4711.0,,
Pete Buttigieg,2.0,07/10/19,6804.0,,
John Delaney,1.0,07/10/19,30.0,,
Marianne Williamson,1.0,07/10/19,5756.0,,
Andrew Yang,1.0,07/10/19,5440.0,,
Julian Castro,.0,07/10/19,2396.0,,
Bill de Blasio,.0,07/10/19,6593.0,,
Tulsi Gabbard,.0,07/10/19,7702.0,,
John Hickenlooper,.0,07/10/19,1215.0,,
Amy Klobuchar,.0,07/10/19,1642.0,,
Wayne Messam,.0,07/10/19,426.0,,
Beto O'Rourke,.0,07/10/19,4372.0,,
Tim Ryan,.0,07/10/19,41.0,,
Tom Steyer,.0,07/10/19,36330.0,,
Michael Bennet,.0,07/10/19,1599.0,,
Steve Bullock,.0,07/10/19,9.0,,
Kirsten Gillibrand,.0,07/10/19,2296.0,,
Jay Inslee,.0,07/10/19,1353.0,,
Seth Moulton,.0,07/10/19,923.0,,
Joe Sestak,.0,07/10/19,877.0,,
Michael Bennet,.0,07/09/19,1610.0,,
Joe Biden,22.0,07/09/19,15609.0,,
Cory Booker,1.0,07/09/19,3972.0,,
Steve Bullock,1.0,07/09/19,20.0,,
Pete Buttigieg,5.0,07/09/19,8543.0,,
Julian Castro,2.0,07/09/19,2516.0,,
Bill de Blasio,1.0,07/09/19,2723.0,,
John Delaney,.0,07/09/19,32.0,,
Tulsi Gabbard,2.0,07/09/19,9987.0,,
Kirsten Gillibrand,.0,07/09/19,3271.0,,
Mike Gravel,.0,07/09/19,2896.0,,
Kamala Harris,14.0,07/09/19,29478.0,,
John Hickenlooper,1.0,07/09/19,1427.0,,
Jay Inslee,.0,07/09/19,1004.0,,
Amy Klobuchar,1.0,07/09/19,1845.0,,
Wayne Messam,.0,07/09/19,626.0,,
Seth Moulton,.0,07/09/19,939.0,,
Beto O'Rourke,2.0,07/09/19,3630.0,,
Tim Ryan,.0,07/09/19,88.0,,
Joe Sestak,.0,07/09/19,1389.0,,
Elizabeth Warren,17.0,07/09/19,7723.0,,
Marianne Williamson,.0,07/09/19,8173.0,,
Andrew Yang,1.0,07/09/19,7632.0,,
Joe Biden,26.0,07/09/19,15609.0,,
Elizabeth Warren,19.0,07/09/19,7723.0,,
Kamala Harris,13.0,07/09/19,29478.0,,
Pete Buttigieg,7.0,07/09/19,8543.0,,
Andrew Yang,2.0,07/09/19,7632.0,,
Beto O'Rourke,2.0,07/09/19,3630.0,,
Amy Klobuchar,1.0,07/09/19,1845.0,,
Julian Castro,1.0,07/09/19,2516.0,,
Cory Booker,1.0,07/09/19,3972.0,,
Jay Inslee,1.0,07/09/19,1004.0,,
Marianne Williamson,1.0,07/09/19,8173.0,,
John Delaney,1.0,07/09/19,32.0,,
John Hickenlooper,1.0,07/09/19,1427.0,,
Michael Bennet,1.0,07/09/19,1610.0,,
Steve Bullock,.0,07/09/19,20.0,,
Bill de Blasio,.0,07/09/19,2723.0,,
Tulsi Gabbard,.0,07/09/19,9987.0,,
Kirsten Gillibrand,.0,07/09/19,3271.0,,
Seth Moulton,.0,07/09/19,939.0,,
Tim Ryan,.0,07/09/19,88.0,,
Elizabeth Warren,22.0,07/09/19,7723.0,,
Joe Biden,19.0,07/09/19,15609.0,,
Kamala Harris,15.0,07/09/19,29478.0,,
Pete Buttigieg,13.0,07/09/19,8543.0,,
Tulsi Gabbard,3.0,07/09/19,9987.0,,
Beto O'Rourke,1.0,07/09/19,3630.0,,
Cory Booker,1.0,07/09/19,3972.0,,
Andrew Yang,1.0,07/09/19,7632.0,,
Marianne Williamson,1.0,07/09/19,8173.0,,
Amy Klobuchar,1.0,07/09/19,1845.0,,
Kirsten Gillibrand,1.0,07/09/19,3271.0,,
John Hickenlooper,1.0,07/09/19,1427.0,,
Tim Ryan,.0,07/09/19,88.0,,
John Delaney,.0,07/09/19,32.0,,
Jay Inslee,.0,07/09/19,1004.0,,
Bill de Blasio,.0,07/09/19,2723.0,,
Michael Bennet,.0,07/09/19,1610.0,,
Julian Castro,.0,07/09/19,2516.0,,
Seth Moulton,.0,07/09/19,939.0,,
Elizabeth Warren,14.5,07/08/19,8268.0,,
Joe Biden,29.7,07/08/19,9680.0,,
Pete Buttigieg,5.3,07/08/19,8654.0,,
Kamala Harris,15.2,07/08/19,33122.0,,
Beto O'Rourke,4.0,07/08/19,4393.0,,
Cory Booker,1.5,07/08/19,4469.0,,
Steve Bullock,.5,07/08/19,10.0,,
Mike Gravel,.6,07/08/19,2870.0,,
Amy Klobuchar,.9,07/08/19,2171.0,,
Bill de Blasio,.4,07/08/19,2802.0,,
Kirsten Gillibrand,.2,07/08/19,2997.0,,
Michael Bennet,1.2,07/08/19,2262.0,,
Andrew Yang,3.2,07/08/19,8755.0,,
Julian Castro,.4,07/08/19,3197.0,,
John Delaney,.3,07/08/19,42.0,,
Jay Inslee,.5,07/08/19,1150.0,,
Tim Ryan,.3,07/08/19,80.0,,
Tulsi Gabbard,1.7,07/08/19,8768.0,,
Marianne Williamson,.1,07/08/19,10101.0,,
Joe Sestak,.3,07/08/19,1218.0,,
Seth Moulton,.0,07/08/19,2057.0,,
Wayne Messam,.0,07/08/19,591.0,,
John Hickenlooper,.0,07/08/19,2036.0,,
Joe Biden,31.0,07/07/19,11712.0,,
Kamala Harris,14.0,07/07/19,39144.0,,
Elizabeth Warren,13.0,07/07/19,7029.0,,
Pete Buttigieg,6.0,07/07/19,8957.0,,
Beto O'Rourke,3.0,07/07/19,4211.0,,
Cory Booker,2.0,07/07/19,4578.0,,
Steve Bullock,1.0,07/07/19,11.0,,
Julian Castro,1.0,07/07/19,2627.0,,
Bill de Blasio,1.0,07/07/19,2702.0,,
John Delaney,1.0,07/07/19,47.0,,
Tulsi Gabbard,1.0,07/07/19,7444.0,,
Kirsten Gillibrand,1.0,07/07/19,1838.0,,
John Hickenlooper,1.0,07/07/19,1203.0,,
Amy Klobuchar,1.0,07/07/19,2779.0,,
Tim Ryan,1.0,07/07/19,57.0,,
Andrew Yang,1.0,07/07/19,5146.0,,
Marianne Williamson,1.0,07/07/19,13149.0,,
Michael Bennet,.0,07/07/19,2861.0,,
Jay Inslee,.0,07/07/19,760.0,,
Seth Moulton,.0,07/07/19,2992.0,,
Elizabeth Warren,18.0,07/04/19,7650.0,,
Joe Biden,16.0,07/04/19,10677.0,,
Kamala Harris,16.0,07/04/19,50573.0,,
Pete Buttigieg,25.0,07/04/19,17913.0,,
Cory Booker,1.0,07/04/19,5731.0,,
Tulsi Gabbard,1.0,07/04/19,9614.0,,
Beto O'Rourke,2.0,07/04/19,4963.0,,
Andrew Yang,1.0,07/04/19,6894.0,,
Amy Klobuchar,1.0,07/04/19,2042.0,,
Julian Castro,1.0,07/04/19,5932.0,,
John Delaney,1.0,07/04/19,21.0,,
Kirsten Gillibrand,1.0,07/04/19,1979.0,,
Jay Inslee,1.0,07/04/19,934.0,,
John Hickenlooper,.0,07/04/19,1392.0,,
Marianne Williamson,.0,07/04/19,11961.0,,
Steve Bullock,.0,07/04/19,18.0,,
Michael Bennet,.0,07/04/19,1784.0,,
Mike Gravel,.0,07/04/19,1272.0,,
Seth Moulton,.0,07/04/19,649.0,,
Tim Ryan,.0,07/04/19,37.0,,
Elizabeth Warren,24.0,07/04/19,7650.0,,
Joe Biden,13.0,07/04/19,10677.0,,
Kamala Harris,13.0,07/04/19,50573.0,,
Pete Buttigieg,14.0,07/04/19,17913.0,,
Cory Booker,2.0,07/04/19,5731.0,,
Tulsi Gabbard,2.0,07/04/19,9614.0,,
Beto O'Rourke,2.0,07/04/19,4963.0,,
Andrew Yang,2.0,07/04/19,6894.0,,
Amy Klobuchar,1.0,07/04/19,2042.0,,
Julian Castro,.0,07/04/19,5932.0,,
John Delaney,.0,07/04/19,21.0,,
Kirsten Gillibrand,1.0,07/04/19,1979.0,,
Jay Inslee,1.0,07/04/19,934.0,,
John Hickenlooper,.0,07/04/19,1392.0,,
Marianne Williamson,.0,07/04/19,11961.0,,
Steve Bullock,.0,07/04/19,18.0,,
Michael Bennet,.0,07/04/19,1784.0,,
Mike Gravel,1.0,07/04/19,1272.0,,
Seth Moulton,1.0,07/04/19,649.0,,
Tim Ryan,.0,07/04/19,37.0,,
Elizabeth Warren,15.0,07/04/19,7650.0,,
Joe Biden,27.0,07/04/19,10677.0,,
Kamala Harris,21.0,07/04/19,50573.0,,
Pete Buttigieg,6.0,07/04/19,17913.0,,
Cory Booker,6.0,07/04/19,5731.0,,
Tulsi Gabbard,2.0,07/04/19,9614.0,,
Beto O'Rourke,1.0,07/04/19,4963.0,,
Andrew Yang,1.0,07/04/19,6894.0,,
Amy Klobuchar,.0,07/04/19,2042.0,,
Julian Castro,1.0,07/04/19,5932.0,,
John Delaney,1.0,07/04/19,21.0,,
Kirsten Gillibrand,.0,07/04/19,1979.0,,
Jay Inslee,.0,07/04/19,934.0,,
John Hickenlooper,1.0,07/04/19,1392.0,,
Marianne Williamson,1.0,07/04/19,11961.0,,
Steve Bullock,1.0,07/04/19,18.0,,
Michael Bennet,1.0,07/04/19,1784.0,,
Mike Gravel,.0,07/04/19,1272.0,,
Seth Moulton,.0,07/04/19,649.0,,
Tim Ryan,.0,07/04/19,37.0,,
Michael Bennet,1.0,07/02/19,3150.0,,
Joe Biden,21.0,07/02/19,16796.0,,
Cory Booker,2.0,07/02/19,8239.0,,
Steve Bullock,1.0,07/02/19,19.0,,
Pete Buttigieg,9.0,07/02/19,20012.0,,
Julian Castro,2.0,07/02/19,9271.0,,
Bill de Blasio,1.0,07/02/19,6719.0,,
John Delaney,.0,07/02/19,55.0,,
Tulsi Gabbard,1.0,07/02/19,17454.0,,
Kirsten Gillibrand,1.0,07/02/19,3592.0,,
Mike Gravel,.0,07/02/19,1770.0,,
Kamala Harris,13.0,07/02/19,108765.0,,
John Hickenlooper,.0,07/02/19,4440.0,,
Jay Inslee,1.0,07/02/19,1541.0,,
Amy Klobuchar,1.0,07/02/19,3022.0,,
Wayne Messam,.0,07/02/19,576.0,,
Seth Moulton,.0,07/02/19,1048.0,,
Beto O'Rourke,3.0,07/02/19,6998.0,,
Tim Ryan,.0,07/02/19,85.0,,
Joe Sestak,.0,07/02/19,880.0,,
Elizabeth Warren,18.0,07/02/19,13376.0,,
Marianne Williamson,.0,07/02/19,24475.0,,
Andrew Yang,.0,07/02/19,11428.0,,
Joe Biden,22.0,07/02/19,16796.0,,
Kamala Harris,10.0,07/02/19,108765.0,,
Elizabeth Warren,9.0,07/02/19,13376.0,,
Beto O'Rourke,3.0,07/02/19,6998.0,,
Pete Buttigieg,3.0,07/02/19,20012.0,,
Andrew Yang,2.0,07/02/19,11428.0,,
Cory Booker,1.0,07/02/19,8239.0,,
Julian Castro,1.0,07/02/19,9271.0,,
Kirsten Gillibrand,1.0,07/02/19,3592.0,,
Steve Bullock,1.0,07/02/19,19.0,,
Tim Ryan,1.0,07/02/19,85.0,,
Amy Klobuchar,.0,07/02/19,3022.0,,
Tulsi Gabbard,.0,07/02/19,17454.0,,
John Hickenlooper,.0,07/02/19,4440.0,,
Bill de Blasio,.0,07/02/19,6719.0,,
Jay Inslee,.0,07/02/19,1541.0,,
John Delaney,.0,07/02/19,55.0,,
Marianne Williamson,.0,07/02/19,24475.0,,
Wayne Messam,.0,07/02/19,576.0,,
Seth Moulton,.0,07/02/19,1048.0,,
Michael Bennet,.0,07/02/19,3150.0,,
Mike Gravel,.0,07/02/19,1770.0,,
Joe Sestak,.0,07/02/19,880.0,,
Joe Biden,24.0,07/02/19,16796.0,,
Kamala Harris,11.0,07/02/19,108765.0,,
Elizabeth Warren,11.0,07/02/19,13376.0,,
Beto O'Rourke,3.0,07/02/19,6998.0,,
Cory Booker,1.0,07/02/19,8239.0,,
Julian Castro,1.0,07/02/19,9271.0,,
Amy Klobuchar,1.0,07/02/19,3022.0,,
Kirsten Gillibrand,1.0,07/02/19,3592.0,,
Pete Buttigieg,4.0,07/02/19,20012.0,,
Tulsi Gabbard,.0,07/02/19,17454.0,,
John Hickenlooper,.0,07/02/19,4440.0,,
Steve Bullock,1.0,07/02/19,19.0,,
Jay Inslee,.0,07/02/19,1541.0,,
John Delaney,.0,07/02/19,55.0,,
Marianne Williamson,.0,07/02/19,24475.0,,
Andrew Yang,3.0,07/02/19,11428.0,,
Tim Ryan,1.0,07/02/19,85.0,,
Wayne Messam,.0,07/02/19,576.0,,
Seth Moulton,.0,07/02/19,1048.0,,
Michael Bennet,.0,07/02/19,3150.0,,
Bill de Blasio,.0,07/02/19,6719.0,,
Mike Gravel,.0,07/02/19,1770.0,,
Joe Sestak,.0,07/02/19,880.0,,
Joe Biden,23.0,07/02/19,16796.0,,
Elizabeth Warren,22.0,07/02/19,13376.0,,
Kamala Harris,17.0,07/02/19,108765.0,,
Pete Buttigieg,7.0,07/02/19,20012.0,,
Beto O'Rourke,2.0,07/02/19,6998.0,,
Andrew Yang,2.0,07/02/19,11428.0,,
Cory Booker,2.0,07/02/19,8239.0,,
Amy Klobuchar,1.0,07/02/19,3022.0,,
Jay Inslee,1.0,07/02/19,1541.0,,
John Hickenlooper,1.0,07/02/19,4440.0,,
Julian Castro,1.0,07/02/19,9271.0,,
John Delaney,1.0,07/02/19,55.0,,
Tulsi Gabbard,1.0,07/02/19,17454.0,,
Kirsten Gillibrand,.0,07/02/19,3592.0,,
Michael Bennet,.0,07/02/19,3150.0,,
Bill de Blasio,.0,07/02/19,6719.0,,
Tim Ryan,.0,07/02/19,85.0,,
Steve Bullock,.0,07/02/19,19.0,,
Seth Moulton,.0,07/02/19,1048.0,,
Joe Sestak,.0,07/02/19,880.0,,
Mike Gravel,.0,07/02/19,1770.0,,
Wayne Messam,.0,07/02/19,576.0,,
Marianne Williamson,.0,07/02/19,24475.0,,
Joe Biden,28.0,07/01/19,17357.0,,
Kamala Harris,13.0,07/01/19,163964.0,,
Elizabeth Warren,9.0,07/01/19,11992.0,,
Pete Buttigieg,4.0,07/01/19,26412.0,,
Beto O'Rourke,3.0,07/01/19,8226.0,,
Cory Booker,2.0,07/01/19,10865.0,,
Julian Castro,2.0,07/01/19,9740.0,,
John Delaney,1.0,07/01/19,50.0,,
Tulsi Gabbard,1.0,07/01/19,25397.0,,
Kirsten Gillibrand,1.0,07/01/19,4523.0,,
John Hickenlooper,1.0,07/01/19,3353.0,,
Jay Inslee,.0,07/01/19,1909.0,,
Amy Klobuchar,1.0,07/01/19,3549.0,,
Marianne Williamson,1.0,07/01/19,33614.0,,
Andrew Yang,1.0,07/01/19,13911.0,,
Mike Gravel,.0,07/01/19,1697.0,,
Wayne Messam,.0,07/01/19,592.0,,
Seth Moulton,.0,07/01/19,1166.0,,
Tim Ryan,1.0,07/01/19,216.0,,
Michael Bennet,1.0,07/01/19,4288.0,,
Steve Bullock,.0,07/01/19,8.0,,
Bill de Blasio,1.0,07/01/19,7008.0,,
Joe Sestak,.0,07/01/19,962.0,,
Elizabeth Warren,20.0,07/01/19,11992.0,,
Kamala Harris,18.0,07/01/19,163964.0,,
Joe Biden,17.0,07/01/19,17357.0,,
Pete Buttigieg,10.0,07/01/19,26412.0,,
Amy Klobuchar,4.0,07/01/19,3549.0,,
Cory Booker,2.0,07/01/19,10865.0,,
Beto O'Rourke,1.0,07/01/19,8226.0,,
John Delaney,1.0,07/01/19,50.0,,
Kirsten Gillibrand,1.0,07/01/19,4523.0,,
Michael Bennet,1.0,07/01/19,4288.0,,
Steve Bullock,1.0,07/01/19,8.0,,
Julian Castro,1.0,07/01/19,9740.0,,
Bill de Blasio,1.0,07/01/19,7008.0,,
Tulsi Gabbard,1.0,07/01/19,25397.0,,
Andrew Yang,1.0,07/01/19,13911.0,,
Marianne Williamson,1.0,07/01/19,33614.0,,
John Hickenlooper,.0,07/01/19,3353.0,,
Jay Inslee,.0,07/01/19,1909.0,,
Tim Ryan,.0,07/01/19,216.0,,
Wayne Messam,.0,07/01/19,592.0,,
Seth Moulton,.0,07/01/19,1166.0,,
Michael Bennet,.6,07/01/19,4288.0,,
Joe Biden,24.0,07/01/19,17357.0,,
Cory Booker,1.8,07/01/19,10865.0,,
Steve Bullock,.0,07/01/19,8.0,,
Pete Buttigieg,6.2,07/01/19,26412.0,,
Julian Castro,.6,07/01/19,9740.0,,
Bill de Blasio,.0,07/01/19,7008.0,,
John Delaney,.6,07/01/19,50.0,,
Tulsi Gabbard,1.4,07/01/19,25397.0,,
Kirsten Gillibrand,.4,07/01/19,4523.0,,
Mike Gravel,.0,07/01/19,1697.0,,
Kamala Harris,15.6,07/01/19,163964.0,,
John Hickenlooper,.2,07/01/19,3353.0,,
Jay Inslee,.4,07/01/19,1909.0,,
Amy Klobuchar,2.0,07/01/19,3549.0,,
Wayne Messam,.0,07/01/19,592.0,,
Seth Moulton,.0,07/01/19,1166.0,,
Beto O'Rourke,.6,07/01/19,8226.0,,
Tim Ryan,.0,07/01/19,216.0,,
Joe Sestak,.0,07/01/19,962.0,,
Elizabeth Warren,13.0,07/01/19,11992.0,,
Marianne Williamson,.2,07/01/19,33614.0,,
Andrew Yang,.6,07/01/19,13911.0,,
Joe Biden,22.0,07/01/19,17357.0,,
Beto O'Rourke,1.0,07/01/19,8226.0,,
Kamala Harris,20.0,07/01/19,163964.0,,
Elizabeth Warren,14.0,07/01/19,11992.0,,
Cory Booker,3.0,07/01/19,10865.0,,
Kirsten Gillibrand,.0,07/01/19,4523.0,,
Amy Klobuchar,1.0,07/01/19,3549.0,,
Julian Castro,1.0,07/01/19,9740.0,,
Tulsi Gabbard,1.0,07/01/19,25397.0,,
Jay Inslee,.0,07/01/19,1909.0,,
John Hickenlooper,.0,07/01/19,3353.0,,
John Delaney,.0,07/01/19,50.0,,
Pete Buttigieg,4.0,07/01/19,26412.0,,
Andrew Yang,1.0,07/01/19,13911.0,,
Marianne Williamson,.0,07/01/19,33614.0,,
Wayne Messam,.0,07/01/19,592.0,,
Tim Ryan,.0,07/01/19,216.0,,
Seth Moulton,.0,07/01/19,1166.0,,
Michael Bennet,.0,07/01/19,4288.0,,
Steve Bullock,.0,07/01/19,8.0,,
Bill de Blasio,.0,07/01/19,7008.0,,
Mike Gravel,.0,07/01/19,1697.0,,
Joe Sestak,.0,07/01/19,962.0,,
Joe Biden,28.0,07/01/19,17357.0,,
Kamala Harris,11.0,07/01/19,163964.0,,
Elizabeth Warren,10.0,07/01/19,11992.0,,
Pete Buttigieg,3.0,07/01/19,26412.0,,
Tulsi Gabbard,2.0,07/01/19,25397.0,,
Amy Klobuchar,1.0,07/01/19,3549.0,,
Beto O'Rourke,1.0,07/01/19,8226.0,,
Andrew Yang,1.0,07/01/19,13911.0,,
Julian Castro,1.0,07/01/19,9740.0,,
Cory Booker,.0,07/01/19,10865.0,,
John Hickenlooper,.0,07/01/19,3353.0,,
Jay Inslee,.0,07/01/19,1909.0,,
Steve Bullock,.0,07/01/19,8.0,,
Joe Biden,25.0,07/01/19,17357.0,,
Kamala Harris,9.0,07/01/19,163964.0,,
Elizabeth Warren,9.0,07/01/19,11992.0,,
Pete Buttigieg,3.0,07/01/19,26412.0,,
Tulsi Gabbard,1.0,07/01/19,25397.0,,
Amy Klobuchar,1.0,07/01/19,3549.0,,
Beto O'Rourke,1.0,07/01/19,8226.0,,
Andrew Yang,1.0,07/01/19,13911.0,,
Marianne Williamson,1.0,07/01/19,33614.0,,
Julian Castro,1.0,07/01/19,9740.0,,
Cory Booker,.0,07/01/19,10865.0,,
John Hickenlooper,.0,07/01/19,3353.0,,
Jay Inslee,.0,07/01/19,1909.0,,
Michael Bennet,.0,07/01/19,4288.0,,
Steve Bullock,.0,07/01/19,8.0,,
Joe Biden,30.0,07/01/19,17357.0,,
Kamala Harris,13.0,07/01/19,163964.0,,
Elizabeth Warren,12.0,07/01/19,11992.0,,
Pete Buttigieg,4.0,07/01/19,26412.0,,
Julian Castro,3.0,07/01/19,9740.0,,
Amy Klobuchar,2.0,07/01/19,3549.0,,
Beto O'Rourke,2.0,07/01/19,8226.0,,
Michael Bennet,1.0,07/01/19,4288.0,,
Cory Booker,1.0,07/01/19,10865.0,,
John Hickenlooper,1.0,07/01/19,3353.0,,
Jay Inslee,1.0,07/01/19,1909.0,,
Marianne Williamson,1.0,07/01/19,33614.0,,
Tulsi Gabbard,1.0,07/01/19,25397.0,,
Andrew Yang,.0,07/01/19,13911.0,,
Steve Bullock,.0,07/01/19,8.0,,
Kirsten Gillibrand,.0,07/01/19,4523.0,,
Tim Ryan,.0,07/01/19,216.0,,
Bill de Blasio,.0,07/01/19,7008.0,,
John Delaney,.0,07/01/19,50.0,,
Seth Moulton,.0,07/01/19,1166.0,,
Joe Biden,29.0,07/01/19,17357.0,,
Kamala Harris,11.0,07/01/19,163964.0,,
Elizabeth Warren,11.0,07/01/19,11992.0,,
Pete Buttigieg,4.0,07/01/19,26412.0,,
Julian Castro,4.0,07/01/19,9740.0,,
Amy Klobuchar,2.0,07/01/19,3549.0,,
Beto O'Rourke,2.0,07/01/19,8226.0,,
Michael Bennet,1.0,07/01/19,4288.0,,
Cory Booker,1.0,07/01/19,10865.0,,
John Hickenlooper,1.0,07/01/19,3353.0,,
Jay Inslee,1.0,07/01/19,1909.0,,
Marianne Williamson,1.0,07/01/19,33614.0,,
Tulsi Gabbard,1.0,07/01/19,25397.0,,
Andrew Yang,1.0,07/01/19,13911.0,,
Steve Bullock,.0,07/01/19,8.0,,
Kirsten Gillibrand,.0,07/01/19,4523.0,,
Tim Ryan,.0,07/01/19,216.0,,
Bill de Blasio,.0,07/01/19,7008.0,,
John Delaney,.0,07/01/19,50.0,,
Seth Moulton,.0,07/01/19,1166.0,,
Elizabeth Warren,22.0,07/01/19,11992.0,,
Kamala Harris,21.0,07/01/19,163964.0,,
Joe Biden,18.0,07/01/19,17357.0,,
Pete Buttigieg,10.0,07/01/19,26412.0,,
Beto O'Rourke,2.0,07/01/19,8226.0,,
Andrew Yang,2.0,07/01/19,13911.0,,
Julian Castro,1.0,07/01/19,9740.0,,
Tulsi Gabbard,1.0,07/01/19,25397.0,,
John Delaney,1.0,07/01/19,50.0,,
Marianne Williamson,1.0,07/01/19,33614.0,,
Kirsten Gillibrand,1.0,07/01/19,4523.0,,
Amy Klobuchar,1.0,07/01/19,3549.0,,
Michael Bennet,.0,07/01/19,4288.0,,
Cory Booker,.0,07/01/19,10865.0,,
Bill de Blasio,.0,07/01/19,7008.0,,
Tim Ryan,.0,07/01/19,216.0,,
Jay Inslee,.0,07/01/19,1909.0,,
Joe Sestak,.0,07/01/19,962.0,,
John Hickenlooper,.0,07/01/19,3353.0,,
Mike Gravel,.0,07/01/19,1697.0,,
Steve Bullock,.0,07/01/19,8.0,,
Seth Moulton,.0,07/01/19,1166.0,,
Wayne Messam,.0,07/01/19,592.0,,
Joe Biden,33.0,06/30/19,18993.0,,
Kamala Harris,11.0,06/30/19,217271.0,,
Elizabeth Warren,9.0,06/30/19,15015.0,,
Pete Buttigieg,6.0,06/30/19,26624.0,,
Beto O'Rourke,4.0,06/30/19,9851.0,,
Cory Booker,2.0,06/30/19,16078.0,,
Julian Castro,1.0,06/30/19,15253.0,,
Kirsten Gillibrand,1.0,06/30/19,5932.0,,
Tulsi Gabbard,1.0,06/30/19,36812.0,,
Steve Bullock,1.0,06/30/19,18.0,,
Michael Bennet,1.0,06/30/19,5570.0,,
Andrew Yang,1.0,06/30/19,19435.0,,
Mike Gravel,1.0,06/30/19,1960.0,,
Amy Klobuchar,.0,06/30/19,5013.0,,
Tim Ryan,.0,06/30/19,305.0,,
John Hickenlooper,.0,06/30/19,4297.0,,
Wayne Messam,.0,06/30/19,630.0,,
Bill de Blasio,.0,06/30/19,8218.0,,
Jay Inslee,.0,06/30/19,2006.0,,
Joe Sestak,.0,06/30/19,1011.0,,
Seth Moulton,.0,06/30/19,1079.0,,
Marianne Williamson,.0,06/30/19,55508.0,,
John Delaney,.0,06/30/19,105.0,,
Joe Biden,28.0,06/30/19,18993.0,,
Kamala Harris,11.0,06/30/19,217271.0,,
Elizabeth Warren,8.0,06/30/19,15015.0,,
Pete Buttigieg,4.0,06/30/19,26624.0,,
Beto O'Rourke,3.0,06/30/19,9851.0,,
Cory Booker,2.0,06/30/19,16078.0,,
Julian Castro,2.0,06/30/19,15253.0,,
John Delaney,1.0,06/30/19,105.0,,
John Hickenlooper,1.0,06/30/19,4297.0,,
Amy Klobuchar,1.0,06/30/19,5013.0,,
Jay Inslee,1.0,06/30/19,2006.0,,
Tulsi Gabbard,1.0,06/30/19,36812.0,,
